course_id,course_name,group_id,teacher,room,credit,students
COURSE_011,과목011,GRP11,교사11,R111,4,"S0010,S0012,S0017,S0024,S0036,S0041,S0048,S0065,S0067,S0072,S0091,S0096,S0103,S0115,S0120,S0122,S0127,S0139,S0146,S0151,S0165,S0170,S0175,S0177,S0194,S0201,S0206,S0218,S0220,S0225,S0230,S0232,S0244,S0249,S0256,S0268,S0273,S0275,S0280,S0299,S0304,S0323,S0328,S0330,S0335,S0347,S0354,S0359,S0371,S0378,S0383,S0385,S0395,S0397,S0402,S0409,S0426,S0433,S0450,S0452,S0457,S0464,S0476"
COURSE_012,과목012,GRP12,교사12,R112,2,"S0014,S0019,S0026,S0038,S0043,S0045,S0050,S0062,S0069,S0074,S0088,S0093,S0098,S0100,S0117,S0124,S0129,S0141,S0143,S0148,S0153,S0155,S0167,S0172,S0179,S0191,S0196,S0198,S0203,S0222,S0227,S0246,S0251,S0253,S0258,S0270,S0277,S0282,S0294,S0301,S0306,S0308,S0318,S0320,S0325,S0332,S0349,S0356,S0373,S0375,S0380,S0387,S0399,S0404,S0411,S0423,S0428,S0430,S0435,S0447,S0454,S0459,S0478"
COURSE_013,과목013,GRP13,교사13,R113,3,"S0011,S0016,S0021,S0023,S0040,S0047,S0052,S0064,S0066,S0071,S0076,S0078,S0090,S0095,S0102,S0114,S0119,S0121,S0126,S0145,S0150,S0169,S0174,S0176,S0181,S0193,S0200,S0205,S0217,S0224,S0229,S0231,S0241,S0243,S0248,S0255,S0272,S0279,S0296,S0298,S0303,S0310,S0322,S0327,S0334,S0346,S0351,S0353,S0358,S0370,S0377,S0382,S0401,S0406,S0408,S0425,S0432,S0437,S0449,S0451,S0456,S0461,S0463,S0475,S0480"
COURSE_014,과목014,GRP14,교사14,R114,4,"S0001,S0013,S0018,S0025,S0037,S0042,S0044,S0049,S0068,S0073,S0092,S0097,S0099,S0104,S0116,S0123,S0128,S0140,S0147,S0152,S0154,S0164,S0166,S0171,S0178,S0195,S0202,S0219,S0221,S0226,S0233,S0245,S0250,S0257,S0269,S0274,S0276,S0281,S0293,S0300,S0305,S0324,S0329,S0331,S0348,S0355,S0360,S0372,S0374,S0379,S0384,S0386,S0398,S0403,S0410,S0422,S0427,S0429,S0434,S0453,S0458,S0477"
COURSE_015,과목015,GRP15,교사15,R115,2,"S0015,S0020,S0022,S0027,S0039,S0046,S0051,S0063,S0070,S0075,S0077,S0087,S0089,S0094,S0101,S0118,S0125,S0142,S0144,S0149,S0156,S0168,S0173,S0180,S0192,S0197,S0199,S0204,S0216,S0223,S0228,S0247,S0252,S0254,S0271,S0278,S0283,S0295,S0297,S0302,S0307,S0309,S0321,S0326,S0333,S0345,S0350,S0352,S0357,S0376,S0381,S0400,S0405,S0407,S0412,S0424,S0431,S0436,S0448,S0455,S0460,S0462,S0474,S0479"
COURSE_016,과목016,GRP16,교사16,R116,3,"S0010,S0012,S0017,S0024,S0041,S0048,S0065,S0067,S0072,S0079,S0091,S0096,S0103,S0115,S0120,S0122,S0127,S0139,S0146,S0151,S0170,S0175,S0177,S0194,S0201,S0206,S0218,S0220,S0225,S0230,S0232,S0244,S0249,S0256,S0268,S0273,S0275,S0280,S0299,S0304,S0323,S0328,S0330,S0335,S0347,S0354,S0359,S0371,S0378,S0383,S0385,S0397,S0402,S0409,S0426,S0433,S0438,S0450,S0452,S0457,S0464,S0476"
COURSE_017,과목017,GRP17,교사17,R117,4,"S0002,S0014,S0019,S0026,S0038,S0043,S0045,S0050,S0062,S0069,S0074,S0093,S0098,S0100,S0117,S0124,S0129,S0141,S0143,S0148,S0153,S0155,S0167,S0172,S0179,S0191,S0196,S0198,S0203,S0222,S0227,S0246,S0251,S0253,S0258,S0270,S0277,S0282,S0294,S0301,S0306,S0308,S0320,S0325,S0332,S0349,S0356,S0361,S0373,S0375,S0380,S0387,S0399,S0404,S0411,S0423,S0428,S0430,S0435,S0454,S0459,S0478"
COURSE_018,과목018,GRP18,교사18,R118,2,"S0016,S0021,S0023,S0040,S0047,S0052,S0064,S0066,S0071,S0076,S0078,S0090,S0095,S0102,S0114,S0119,S0121,S0126,S0145,S0150,S0169,S0174,S0176,S0181,S0193,S0200,S0205,S0217,S0224,S0229,S0231,S0243,S0248,S0255,S0272,S0279,S0284,S0296,S0298,S0303,S0310,S0322,S0327,S0334,S0346,S0351,S0353,S0358,S0377,S0382,S0401,S0406,S0408,S0413,S0425,S0432,S0437,S0449,S0451,S0456,S0461,S0463,S0475,S0480"
COURSE_019,과목019,GRP19,교사19,R119,3,"S0001,S0013,S0018,S0025,S0037,S0042,S0044,S0049,S0068,S0073,S0092,S0097,S0099,S0104,S0116,S0123,S0128,S0140,S0147,S0152,S0154,S0166,S0171,S0178,S0195,S0202,S0207,S0219,S0221,S0226,S0233,S0245,S0250,S0257,S0269,S0274,S0276,S0281,S0300,S0305,S0324,S0329,S0331,S0336,S0348,S0355,S0360,S0372,S0374,S0379,S0384,S0386,S0398,S0403,S0410,S0427,S0429,S0434,S0453,S0458,S0465,S0477"
COURSE_020,과목020,GRP20,교사20,R120,4,"S0015,S0020,S0022,S0027,S0039,S0046,S0051,S0063,S0070,S0075,S0077,S0089,S0094,S0101,S0118,S0125,S0130,S0142,S0144,S0149,S0156,S0168,S0173,S0180,S0192,S0197,S0199,S0204,S0223,S0228,S0247,S0252,S0254,S0259,S0271,S0278,S0283,S0295,S0297,S0302,S0307,S0309,S0321,S0326,S0333,S0350,S0352,S0357,S0376,S0381,S0388,S0400,S0405,S0407,S0412,S0424,S0431,S0436,S0448,S0455,S0460,S0462,S0479"
COURSE_021,과목021,GRP21,교사21,R121,2,"S0012,S0017,S0024,S0041,S0048,S0053,S0065,S0067,S0072,S0079,S0091,S0096,S0103,S0115,S0120,S0122,S0127,S0146,S0151,S0170,S0175,S0177,S0182,S0194,S0201,S0206,S0218,S0220,S0225,S0230,S0232,S0244,S0249,S0256,S0273,S0275,S0280,S0299,S0304,S0311,S0323,S0328,S0330,S0335,S0347,S0354,S0359,S0371,S0378,S0383,S0385,S0402,S0409,S0426,S0433,S0438,S0440,S0450,S0452,S0457,S0464,S0476"
COURSE_022,과목022,GRP22,교사22,R122,3,"S0002,S0014,S0019,S0026,S0038,S0043,S0045,S0050,S0069,S0074,S0093,S0098,S0100,S0105,S0117,S0124,S0129,S0141,S0143,S0148,S0153,S0155,S0167,S0172,S0179,S0196,S0198,S0203,S0222,S0227,S0234,S0246,S0251,S0253,S0258,S0270,S0277,S0282,S0294,S0301,S0306,S0308,S0325,S0332,S0349,S0356,S0361,S0363,S0373,S0375,S0380,S0387,S0399,S0404,S0411,S0423,S0428,S0430,S0435,S0454,S0459,S0478"
COURSE_023,과목023,GRP23,교사23,R123,4,"S0016,S0021,S0023,S0028,S0040,S0047,S0052,S0064,S0066,S0071,S0076,S0078,S0090,S0095,S0102,S0119,S0121,S0126,S0145,S0150,S0157,S0169,S0174,S0176,S0181,S0193,S0200,S0205,S0217,S0224,S0229,S0231,S0248,S0255,S0272,S0279,S0284,S0286,S0296,S0298,S0303,S0310,S0322,S0327,S0334,S0346,S0351,S0353,S0358,S0377,S0382,S0401,S0406,S0408,S0413,S0425,S0432,S0437,S0449,S0451,S0456,S0461,S0463,S0475,S0480"
COURSE_024,과목024,GRP24,교사24,R124,2,"S0001,S0013,S0018,S0025,S0042,S0044,S0049,S0068,S0073,S0080,S0092,S0097,S0099,S0104,S0116,S0123,S0128,S0140,S0147,S0152,S0154,S0171,S0178,S0195,S0202,S0207,S0209,S0219,S0221,S0226,S0233,S0245,S0250,S0257,S0269,S0274,S0276,S0281,S0300,S0305,S0324,S0329,S0331,S0336,S0348,S0355,S0360,S0372,S0374,S0379,S0384,S0386,S0398,S0403,S0410,S0427,S0429,S0434,S0439,S0453,S0458,S0465,S0477"
COURSE_025,과목025,GRP01,교사25,R125,3,"S0003,S0015,S0020,S0022,S0027,S0039,S0046,S0051,S0063,S0070,S0075,S0077,S0094,S0101,S0118,S0125,S0130,S0132,S0142,S0144,S0149,S0156,S0168,S0173,S0180,S0192,S0197,S0199,S0204,S0223,S0228,S0247,S0252,S0254,S0259,S0271,S0278,S0283,S0295,S0297,S0302,S0307,S0309,S0321,S0326,S0333,S0350,S0352,S0357,S0362,S0376,S0381,S0388,S0400,S0405,S0407,S0412,S0424,S0431,S0436,S0455,S0460,S0462,S0479"
COURSE_026,과목026,GRP02,교사26,R101,4,"S0017,S0024,S0041,S0048,S0053,S0055,S0065,S0067,S0072,S0079,S0091,S0096,S0103,S0115,S0120,S0122,S0127,S0146,S0151,S0170,S0175,S0177,S0182,S0194,S0201,S0206,S0218,S0220,S0225,S0230,S0232,S0244,S0249,S0256,S0273,S0275,S0280,S0285,S0299,S0304,S0311,S0323,S0328,S0330,S0335,S0347,S0354,S0359,S0378,S0383,S0385,S0402,S0409,S0414,S0426,S0433,S0438,S0440,S0450,S0452,S0457,S0464,S0476"
COURSE_027,과목027,GRP03,교사27,R102,2,"S0002,S0014,S0019,S0026,S0038,S0043,S0045,S0050,S0069,S0074,S0093,S0098,S0100,S0105,S0117,S0124,S0129,S0141,S0143,S0148,S0153,S0155,S0167,S0172,S0179,S0196,S0198,S0203,S0208,S0222,S0227,S0234,S0246,S0251,S0253,S0258,S0270,S0277,S0282,S0301,S0306,S0308,S0325,S0332,S0337,S0349,S0356,S0361,S0363,S0373,S0375,S0380,S0387,S0399,S0404,S0411,S0428,S0430,S0435,S0454,S0459,S0466,S0478"
COURSE_028,과목028,GRP04,교사28,R103,3,"S0016,S0021,S0023,S0028,S0040,S0047,S0052,S0064,S0066,S0071,S0076,S0078,S0090,S0095,S0102,S0119,S0121,S0126,S0131,S0145,S0150,S0157,S0169,S0174,S0176,S0181,S0193,S0200,S0205,S0224,S0229,S0231,S0248,S0255,S0260,S0272,S0279,S0284,S0286,S0296,S0298,S0303,S0310,S0322,S0327,S0334,S0351,S0353,S0358,S0377,S0382,S0389,S0401,S0406,S0408,S0413,S0425,S0432,S0437,S0449,S0451,S0456,S0461,S0463,S0480"
COURSE_029,과목029,GRP05,교사29,R104,4,"S0001,S0013,S0018,S0025,S0042,S0044,S0049,S0054,S0068,S0073,S0080,S0092,S0097,S0099,S0104,S0116,S0123,S0128,S0147,S0152,S0154,S0171,S0178,S0183,S0195,S0202,S0207,S0209,S0219,S0221,S0226,S0233,S0245,S0250,S0257,S0274,S0276,S0281,S0300,S0305,S0312,S0324,S0329,S0331,S0336,S0348,S0355,S0360,S0372,S0374,S0379,S0384,S0386,S0403,S0410,S0427,S0429,S0434,S0439,S0441,S0453,S0458,S0465,S0477"
COURSE_030,과목030,GRP06,교사30,R105,2,"S0003,S0015,S0020,S0022,S0027,S0039,S0046,S0051,S0070,S0075,S0077,S0094,S0101,S0106,S0118,S0125,S0130,S0132,S0142,S0144,S0149,S0156,S0168,S0173,S0180,S0197,S0199,S0204,S0223,S0228,S0235,S0247,S0252,S0254,S0259,S0271,S0278,S0283,S0295,S0297,S0302,S0307,S0309,S0326,S0333,S0350,S0352,S0357,S0362,S0364,S0376,S0381,S0388,S0400,S0405,S0407,S0412,S0424,S0431,S0436,S0455,S0460,S0462,S0479"
COURSE_031,과목031,GRP07,교사01,R106,3,"S0017,S0024,S0029,S0041,S0048,S0053,S0055,S0065,S0067,S0072,S0079,S0091,S0096,S0103,S0120,S0122,S0127,S0146,S0151,S0158,S0170,S0175,S0177,S0182,S0194,S0201,S0206,S0218,S0220,S0225,S0230,S0232,S0249,S0256,S0273,S0275,S0280,S0285,S0287,S0299,S0304,S0311,S0323,S0328,S0330,S0335,S0347,S0354,S0359,S0378,S0383,S0385,S0402,S0409,S0414,S0426,S0433,S0438,S0440,S0450,S0452,S0457,S0464,S0476"
COURSE_032,과목032,GRP08,교사02,R107,4,"S0002,S0014,S0019,S0026,S0043,S0045,S0050,S0069,S0074,S0081,S0093,S0098,S0100,S0105,S0117,S0124,S0129,S0141,S0143,S0148,S0153,S0155,S0172,S0179,S0196,S0198,S0203,S0208,S0210,S0222,S0227,S0234,S0246,S0251,S0253,S0258,S0270,S0277,S0282,S0301,S0306,S0308,S0325,S0332,S0337,S0349,S0356,S0361,S0363,S0373,S0375,S0380,S0387,S0399,S0404,S0411,S0428,S0430,S0435,S0454,S0459,S0466,S0478"
COURSE_033,과목033,GRP09,교사03,R108,2,"S0004,S0016,S0021,S0023,S0028,S0040,S0047,S0052,S0064,S0066,S0071,S0076,S0078,S0095,S0102,S0119,S0121,S0126,S0131,S0133,S0145,S0150,S0157,S0169,S0174,S0176,S0181,S0193,S0200,S0205,S0224,S0229,S0231,S0248,S0255,S0260,S0272,S0279,S0284,S0286,S0296,S0298,S0303,S0310,S0322,S0327,S0334,S0351,S0353,S0358,S0377,S0382,S0389,S0401,S0406,S0408,S0413,S0425,S0432,S0437,S0451,S0456,S0461,S0463,S0480"
COURSE_034,과목034,GRP10,교사04,R109,3,"S0001,S0018,S0025,S0042,S0044,S0049,S0054,S0056,S0068,S0073,S0080,S0092,S0097,S0099,S0104,S0116,S0123,S0128,S0147,S0152,S0154,S0171,S0178,S0183,S0195,S0202,S0207,S0209,S0219,S0221,S0226,S0233,S0245,S0250,S0257,S0274,S0276,S0281,S0300,S0305,S0312,S0324,S0329,S0331,S0336,S0348,S0355,S0360,S0374,S0379,S0384,S0386,S0403,S0410,S0415,S0427,S0429,S0434,S0439,S0441,S0453,S0458,S0465,S0477"
COURSE_035,과목035,GRP11,교사05,R110,4,"S0003,S0015,S0020,S0022,S0027,S0039,S0046,S0051,S0070,S0075,S0077,S0094,S0101,S0106,S0118,S0125,S0130,S0132,S0142,S0144,S0149,S0156,S0168,S0173,S0180,S0197,S0199,S0204,S0223,S0228,S0235,S0247,S0252,S0254,S0259,S0271,S0278,S0283,S0297,S0302,S0307,S0309,S0326,S0333,S0338,S0350,S0352,S0357,S0362,S0364,S0376,S0381,S0388,S0400,S0405,S0407,S0412,S0431,S0436,S0455,S0460,S0462,S0467,S0479"
COURSE_036,과목036,GRP12,교사06,R111,2,"S0017,S0024,S0029,S0041,S0048,S0053,S0055,S0065,S0067,S0072,S0079,S0091,S0096,S0103,S0120,S0122,S0127,S0146,S0151,S0158,S0170,S0175,S0177,S0182,S0194,S0201,S0206,S0220,S0225,S0230,S0232,S0249,S0256,S0261,S0273,S0275,S0280,S0285,S0287,S0299,S0304,S0311,S0323,S0328,S0330,S0335,S0354,S0359,S0378,S0383,S0385,S0390,S0402,S0409,S0414,S0426,S0433,S0438,S0440,S0450,S0452,S0457,S0464"
COURSE_037,과목037,GRP13,교사07,R112,3,"S0002,S0014,S0019,S0026,S0043,S0045,S0050,S0069,S0074,S0081,S0093,S0098,S0100,S0105,S0117,S0124,S0129,S0143,S0148,S0153,S0155,S0172,S0179,S0184,S0196,S0198,S0203,S0208,S0210,S0222,S0227,S0234,S0246,S0251,S0253,S0258,S0277,S0282,S0301,S0306,S0308,S0313,S0325,S0332,S0337,S0349,S0356,S0361,S0363,S0373,S0375,S0380,S0387,S0404,S0411,S0428,S0430,S0435,S0442,S0454,S0459,S0466,S0478"
COURSE_038,과목038,GRP14,교사08,R113,4,"S0004,S0016,S0021,S0023,S0028,S0040,S0047,S0052,S0066,S0071,S0076,S0078,S0095,S0102,S0107,S0119,S0121,S0126,S0131,S0133,S0145,S0150,S0157,S0169,S0174,S0176,S0181,S0200,S0205,S0224,S0229,S0231,S0236,S0248,S0255,S0260,S0272,S0279,S0284,S0286,S0296,S0298,S0303,S0310,S0327,S0334,S0351,S0353,S0358,S0365,S0377,S0382,S0389,S0401,S0406,S0408,S0413,S0425,S0432,S0437,S0456,S0461,S0463,S0480"
COURSE_039,과목039,GRP15,교사09,R114,2,"S0001,S0018,S0025,S0030,S0042,S0044,S0049,S0054,S0056,S0068,S0073,S0080,S0092,S0097,S0099,S0104,S0123,S0128,S0147,S0152,S0154,S0159,S0171,S0178,S0183,S0195,S0202,S0207,S0209,S0219,S0221,S0226,S0233,S0250,S0257,S0274,S0276,S0281,S0288,S0300,S0305,S0312,S0324,S0329,S0331,S0336,S0348,S0355,S0360,S0379,S0384,S0386,S0403,S0410,S0415,S0427,S0429,S0434,S0439,S0441,S0453,S0458,S0465,S0477"
COURSE_040,과목040,GRP16,교사10,R115,3,"S0003,S0015,S0020,S0022,S0027,S0046,S0051,S0070,S0075,S0077,S0082,S0094,S0101,S0106,S0118,S0125,S0130,S0132,S0142,S0144,S0149,S0156,S0173,S0180,S0197,S0199,S0204,S0211,S0223,S0228,S0235,S0247,S0252,S0254,S0259,S0271,S0278,S0283,S0302,S0307,S0309,S0326,S0333,S0338,S0350,S0352,S0357,S0362,S0364,S0376,S0381,S0388,S0400,S0405,S0407,S0412,S0431,S0436,S0455,S0460,S0462,S0467,S0479"
COURSE_041,과목041,GRP17,교사11,R116,4,"S0005,S0017,S0024,S0029,S0041,S0048,S0053,S0055,S0065,S0067,S0072,S0079,S0096,S0103,S0120,S0122,S0127,S0134,S0146,S0151,S0158,S0170,S0175,S0177,S0182,S0194,S0201,S0206,S0225,S0230,S0232,S0249,S0256,S0261,S0273,S0275,S0280,S0285,S0287,S0299,S0304,S0311,S0323,S0328,S0330,S0335,S0354,S0359,S0378,S0383,S0385,S0390,S0402,S0409,S0414,S0426,S0433,S0438,S0440,S0452,S0457,S0464"
COURSE_042,과목042,GRP18,교사12,R117,2,"S0002,S0019,S0026,S0043,S0045,S0050,S0057,S0069,S0074,S0081,S0093,S0098,S0100,S0105,S0117,S0124,S0129,S0148,S0153,S0155,S0172,S0179,S0184,S0196,S0198,S0203,S0208,S0210,S0222,S0227,S0234,S0246,S0251,S0253,S0258,S0277,S0282,S0301,S0306,S0308,S0313,S0325,S0332,S0337,S0349,S0356,S0361,S0363,S0375,S0380,S0387,S0404,S0411,S0416,S0428,S0430,S0435,S0442,S0454,S0459,S0466,S0478"
COURSE_043,과목043,GRP19,교사13,R118,3,"S0004,S0016,S0021,S0023,S0028,S0040,S0047,S0052,S0071,S0076,S0078,S0095,S0102,S0107,S0119,S0121,S0126,S0131,S0133,S0145,S0150,S0157,S0169,S0174,S0176,S0181,S0200,S0205,S0224,S0229,S0231,S0236,S0248,S0255,S0260,S0272,S0279,S0284,S0286,S0298,S0303,S0310,S0327,S0334,S0339,S0351,S0353,S0358,S0365,S0377,S0382,S0389,S0401,S0406,S0408,S0413,S0432,S0437,S0456,S0461,S0463,S0468,S0480"
COURSE_044,과목044,GRP20,교사14,R119,4,"S0001,S0018,S0025,S0030,S0042,S0044,S0049,S0054,S0056,S0068,S0073,S0080,S0092,S0097,S0099,S0104,S0123,S0128,S0147,S0152,S0154,S0159,S0171,S0178,S0183,S0195,S0202,S0207,S0209,S0221,S0226,S0233,S0250,S0257,S0262,S0274,S0276,S0281,S0288,S0300,S0305,S0312,S0324,S0329,S0331,S0336,S0355,S0360,S0379,S0384,S0386,S0391,S0403,S0410,S0415,S0427,S0429,S0434,S0439,S0441,S0453,S0458,S0465"
COURSE_045,과목045,GRP21,교사15,R120,2,"S0003,S0015,S0020,S0022,S0027,S0046,S0051,S0070,S0075,S0077,S0082,S0094,S0101,S0106,S0118,S0125,S0130,S0132,S0144,S0149,S0156,S0173,S0180,S0185,S0197,S0199,S0204,S0211,S0223,S0228,S0235,S0247,S0252,S0254,S0259,S0278,S0283,S0302,S0307,S0309,S0314,S0326,S0333,S0338,S0350,S0352,S0357,S0362,S0364,S0376,S0381,S0388,S0405,S0407,S0412,S0431,S0436,S0443,S0455,S0460,S0462,S0467,S0479"
COURSE_046,과목046,GRP22,교사16,R121,3,"S0005,S0017,S0024,S0029,S0041,S0048,S0053,S0055,S0067,S0072,S0079,S0096,S0103,S0108,S0120,S0122,S0127,S0134,S0146,S0151,S0158,S0170,S0175,S0177,S0182,S0201,S0206,S0225,S0230,S0232,S0237,S0249,S0256,S0261,S0273,S0275,S0280,S0285,S0287,S0299,S0304,S0311,S0328,S0330,S0335,S0354,S0359,S0366,S0378,S0383,S0385,S0390,S0402,S0409,S0414,S0426,S0433,S0438,S0440,S0457,S0464"
COURSE_047,과목047,GRP23,교사17,R122,4,"S0002,S0019,S0026,S0031,S0043,S0045,S0050,S0057,S0069,S0074,S0081,S0093,S0098,S0100,S0105,S0124,S0129,S0148,S0153,S0155,S0160,S0172,S0179,S0184,S0196,S0198,S0203,S0208,S0210,S0222,S0227,S0234,S0251,S0253,S0258,S0277,S0282,S0289,S0301,S0306,S0308,S0313,S0325,S0332,S0337,S0349,S0356,S0361,S0363,S0380,S0387,S0404,S0411,S0416,S0418,S0428,S0430,S0435,S0442,S0454,S0459,S0466,S0478"
COURSE_048,과목048,GRP24,교사18,R123,2,"S0004,S0016,S0021,S0023,S0028,S0047,S0052,S0071,S0076,S0078,S0083,S0095,S0102,S0107,S0119,S0121,S0126,S0131,S0133,S0145,S0150,S0157,S0174,S0176,S0181,S0200,S0205,S0212,S0224,S0229,S0231,S0236,S0248,S0255,S0260,S0272,S0279,S0284,S0286,S0303,S0310,S0327,S0334,S0339,S0341,S0351,S0353,S0358,S0365,S0377,S0382,S0389,S0401,S0406,S0408,S0413,S0432,S0437,S0456,S0461,S0463,S0468,S0480"
COURSE_049,과목049,GRP01,교사19,R124,3,"S0001,S0006,S0018,S0025,S0030,S0042,S0044,S0049,S0054,S0056,S0068,S0073,S0080,S0097,S0099,S0104,S0123,S0128,S0135,S0147,S0152,S0154,S0159,S0171,S0178,S0183,S0195,S0202,S0207,S0209,S0226,S0233,S0250,S0257,S0262,S0264,S0274,S0276,S0281,S0288,S0300,S0305,S0312,S0324,S0329,S0331,S0336,S0355,S0360,S0379,S0384,S0386,S0391,S0403,S0410,S0415,S0427,S0429,S0434,S0439,S0441,S0453,S0458,S0465"
